Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
MD-02,Dutch Ruppersberger (D),167201,77782,8319,66,30.7,3.3,35.3,21,14.3,80.8
MD-03,John Sarbanes (D),202407,82774,7699,69.1,28.3,2.6,40.8,30.9,9.9,84.8
MD-04,Anthony Brown (D),209642,53327,5614,78.1,19.9,2.1,58.2,57.1,1.1,82.5
MD-05,Steny Hoyer (D),213796,82361,8052,70.3,27.1,2.6,43.2,33.8,9.4,83.3
MD-06,David Trone (D),163346,105209,8529,59,38,3.1,21,15.4,5.6,82.1
MD-07,Elijah Cummings (D),202345,56266,6099,76.4,21.3,2.3,55.2,52.5,2.7,81.7
MD-08,Jamie Raskin (D),217679,96525,5126,68.2,30.2,1.6,37.9,33.3,4.6,86.5
MA-01,Richard Neal (D),211790,0,5110,97.6,0,2.4,97.6,20.3,-,63
MA-02,Jim McGovern (D),191332,93391,170,67.2,32.8,0.1,34.4,19,15.4,79.7
MA-03,Lori Trahan (D),173175,93445,12707,62,33.5,4.5,28.5,22.5,6,78.8
MA-04,Joe Kennedy (D),245289,0,5727,97.7,0,2.3,97.7,23.7,-,64.6
MA-05,Katherine Clark (D),236243,74856,225,75.9,24,0.1,51.8,42.9,8.9,82
MA-06,Seth Moulton (D),217703,104798,11474,65.2,31.4,3.4,33.8,17.6,16.2,81.9
MA-07,Ayanna Pressley (D),216559,0,3852,98.3,0,1.7,98.3,71.2,-,72
MA-08,Stephen Lynch (D),259159,0,4148,98.4,0,1.6,98.4,25.6,-,67.7
MA-09,Bill Keating (D),192347,131463,118,59.4,40.6,0,18.8,10.6,8.2,81.5
MI-01,Jack Bergman (R),145246,187251,0,43.7,56.3,0,-12.6,-21.3,8.7,91.2
MI-02,Bill Huizenga (R),131254,168970,5239,43,55.3,1.7,-12.3,-17.3,5,87.1
MI-03,Justin Amash (R),134185,169107,7448,43.2,54.4,2.4,-11.2,-9.4,-1.8,88.9
MI-04,John Moolenaar (R),106540,178510,0,37.4,62.6,0,-25.2,-24.8,-0.4,86.7
MI-05,Daniel Kildee (D),164502,99265,12646,59.5,35.9,4.6,23.6,4.3,19.3,84.3
MI-06,Fred Upton (R),134082,147436,11920,45.7,50.2,4.1,-4.6,-8.4,3.8,88.2
MI-07,Tim Walberg (R),136330,158730,0,46.2,53.8,0,-7.6,-17,9.4,86.6
MI-08,Elissa Slotkin (D),172880,159782,8931,50.6,46.8,2.6,3.8,-6.7,10.5,90.5
MI-09,Andy Levin (D),181734,112123,10706,59.7,36.8,3.5,22.9,7.7,15.2,85.8
MI-10,Paul Mitchell (R),106061,182808,14195,35,60.3,4.7,-25.3,-32.2,6.9,84.7
MI-11,Haley Stevens (D),181912,158463,10526,51.8,45.2,3,6.7,-4.4,11.1,89.3
MI-12,Debbie Dingell (D),200588,85115,8925,68.1,28.9,3,39.2,26.2,13,86.6
MI-13,Rashida Tlaib (D),165355,0,30944,84.2,0,15.8,84.2,60.6,-,73.9
MI-14,Brenda Lawrence (D),214334,45899,4761,80.9,17.3,1.8,63.6,60.9,2.7,83.1
MN-01,Jim Hagedorn (R),144885,146200,576,49.7,50.1,0.2,-0.5,-14.8,14.3,84.9
MN-02,Angie Craig (D),177958,159344,666,52.7,47.1,0.2,5.5,-1.2,6.7,88.6
MN-03,Dean Phillips (D),202404,160839,706,55.6,44.2,0.2,11.4,9.4,2,90.6
MN-04,Betty McCollum (D),216865,97747,14003,66,29.7,4.3,36.2,30.6,5.6,89.4
MN-05,Ilhan Omar (D),267703,74440,1215,78,21.7,0.4,56.3,54.7,1.6,91.7
MN-06,Tom Emmer (R),122332,192931,463,38.7,61.1,0.1,-22.4,-25.5,3.1,84.4
MN-07,Collin Peterson (D),146672,134668,169,52.1,47.8,0.1,4.3,-30.5,34.8,83
MN-08,Pete Stauber (R),141950,159364,12897,45.2,50.7,4.1,-5.5,-15.5,10,86.7
MS-01,Trent Kelly (R),76601,158245,1675,32.4,66.9,0.7,-34.5,-33,-1.5,76.1
MS-02,Bennie Thompson (D),158921,0,62458,71.8,0,28.2,71.8,28.4,-,76
MS-03,Michael Guest (R),94461,160284,2526,36.7,62.3,1,-25.6,-24.5,-1.1,79.4
MS-04,Steven Palazzo (R),68787,152633,2312,30.7,68.2,1,-37.5,-41.1,3.6,78.9
MO-01,Lacy Clay (D),219781,45867,8727,80.1,16.7,3.2,63.4,58,5.4,85.6
MO-02,Ann Wagner (R),177611,192477,5978,47.2,51.2,1.6,-4,-10.3,6.3,89.2
