Dist,2018 Winner,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016
TX-20,Joaquin Castro (D),139038,0,32925,80.9,0,19.1,80.9,26.4,-,78.2
TX-21,Chip Roy (R),168421,177654,7542,47.6,50.2,2.1,-2.6,-9.9,7.3,97.5
TX-22,Pete Olson (R),138153,152750,6502,46.5,51.4,2.2,-4.9,-7.8,2.9,96.4
TX-23,Will Hurd (R),102359,103285,4425,48.7,49.2,2.1,-0.4,3.5,-3.9,90.1
TX-24,Kenny Marchant (R),125231,133317,4870,47.5,50.6,1.8,-3.1,-6.2,3.1,94.9
TX-25,Roger Williams (R),136385,163023,5145,44.8,53.5,1.7,-8.7,-14.7,6,96.6
TX-26,Michael Burgess (R),121938,185551,5016,39,59.4,1.6,-20.4,-26.2,5.8,97
TX-27,Michael Cloud (R),75929,125118,6374,36.6,60.3,3.1,-23.7,-23.4,-0.3,88.1
TX-28,Henry Cuellar (D),117494,0,21732,84.4,0,15.6,84.4,19.7,-,73.2
TX-29,Sylvia Garcia (D),88188,28098,1208,75.1,23.9,1,51.1,45.6,5.5,87.7
TX-30,Eddie Bernice Johnson (D),166784,0,16390,91.1,0,8.9,91.1,60.8,-,83
TX-31,John Carter (R),136362,144680,4965,47.7,50.6,1.7,-2.9,-12.5,9.6,97.8
TX-32,Colin Allred (D),144067,126101,5452,52.3,45.8,2,6.5,1.9,4.6,99
TX-33,Marc Veasey (D),90805,26120,2299,76.2,21.9,1.9,54.3,49.1,5.2,91.8
TX-34,Filemon Vela (D),85825,57243,0,60,40,0,20,21.5,-1.5,83.1
TX-35,Lloyd Doggett (D),138278,50553,5236,71.3,26,2.7,45.2,33.3,11.9,96.1
TX-36,Brian Babin (R),60908,161048,0,27.4,72.6,0,-45.1,-46.5,1.4,86.9
UT-01,Rob Bishop (R),63308,156692,34333,24.9,61.6,13.5,-36.7,-27.4,-9.3,90.7
UT-02,Chris Stewart (R),105051,151489,13504,38.9,56.1,5,-17.2,-14,-3.2,95.2
UT-03,John Curtis (R),70686,174856,13316,27.3,67.5,5.1,-40.2,-23.9,-16.3,89.3
UT-04,Ben McAdams (D),134964,134270,37,50.1,49.9,0,0.3,-6.7,7,97.1
VT-AL,Peter Welch (D),188547,70705,13199,69.2,26,4.8,43.3,26.4,16.9,86.5
VA-01,Rob Wittman (R),148464,183250,387,44.7,55.2,0.1,-10.5,-12.4,1.9,83.9
VA-02,Elaine Luria (D),139571,133458,371,51.1,48.8,0.1,2.2,-3.4,5.6,83.7
VA-03,Bobby Scott (D),198615,0,19107,91.2,0,8.8,91.2,31.5,-,66.9
VA-04,Don McEachin (D),187642,107706,4506,62.6,35.9,1.5,26.7,21.4,5.3,82.3
VA-05,Denver Riggleman (R),145040,165339,547,46.6,53.2,0.2,-6.5,-11,4.5,84.6
VA-06,Ben Cline (R),113133,167957,287,40.2,59.7,0.1,-19.5,-24.6,5.1,80.9
VA-07,Abigail Spanberger (D),176079,169295,4429,50.3,48.4,1.3,1.9,-6.5,8.4,88.6
VA-08,Don Beyer (D),247137,76899,712,76.1,23.7,0.2,52.4,51.8,0.6,87
VA-09,Morgan Griffith (R),85833,160933,214,34.8,65.2,0.1,-30.4,-41.3,10.9,77.6
VA-10,Jennifer Wexton (D),206356,160841,598,56.1,43.7,0.2,12.4,9.8,2.6,90
VA-11,Gerry Connolly (D),219191,83023,6051,71.1,26.9,2,44.2,38.9,5.3,85.3
WA-01,Suzan DelBene (D),197209,135534,0,59.3,40.7,0,18.5,16.4,2.1,95.9
WA-02,Rick Larsen (D),210187,0,84646,71.3,0,28.7,71.3,22.1,-,90
WA-03,Jaime Herrera Beutler (R),145407,161819,0,47.3,52.7,0,-5.3,-7.4,2.1,97.5
WA-04,Dan Newhouse (R),83785,141551,0,37.2,62.8,0,-25.6,-22.9,-2.7,92.9
WA-05,Cathy McMorris Rodgers (R),144925,175422,0,45.2,54.8,0,-9.5,-13,3.5,100.2
WA-06,Derek Kilmer (D),206409,116677,0,63.9,36.1,0,27.8,12.4,15.4,96.9
WA-07,Pramila Jayapal (D),329800,64881,0,83.6,16.4,0,67.1,69.8,-2.7,94.9
WA-08,Kim Schrier (D),164089,148968,0,52.4,47.6,0,4.8,3,1.8,97.7
WA-09,Adam Smith (D),240567,0,0,100,0,0,100,47.1,-,82.5
WA-10,Denny Heck (D),166215,103860,0,61.5,38.5,0,23.1,11.3,11.8,91.6
WV-01,David McKinley (R),70217,127997,0,35.4,64.6,0,-29.2,-41.6,12.4,81.3
WV-02,Alex Mooney (R),88011,110504,6277,43,54,3.1,-11,-36.4,25.4,81.8
WV-03,Carol Miller (R),76340,98645,0,43.6,56.4,0,-12.7,-49.3,36.6,79.9
WI-01,Bryan Steil (R),137508,177492,10013,42.3,54.6,3.1,-12.3,-10.3,-2,90.3
WI-02,Mark Pocan (D),309116,0,38,100,0,0,100,36.3,-,73.9
WI-03,Ron Kind (D),187888,126980,0,59.7,40.3,0,19.3,-4.5,23.8,86.7
WI-04,Gwen Moore (D),206487,59091,7170,75.7,21.7,2.6,54,51.5,2.5,87.3
WI-05,Jim Sensenbrenner (R),138385,225619,1,38,62,0,-24,-19.8,-4.2,89.7
WI-06,Glenn Grothman (R),144536,180311,0,44.5,55.5,0,-11,-16.6,5.6,87.5
WI-07,Sean Duffy (R),124307,194061,4419,38.5,60.1,1.4,-21.6,-20.3,-1.3,86.5
WI-08,Mike Gallagher (R),119265,209410,0,36.3,63.7,0,-27.4,-17.4,-10,88.3
WY-AL,Liz Cheney (R),59903,127963,13379,29.8,63.6,6.6,-33.8,-46.3,12.5,78.7
